               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.029295,           0.0093965,            0.014445,             0.95633,             0.98363,             0.99103,             0.62671,            0.022755,           0.0038873,           0.0055279,           0.0086833,           0.0086833,           0.0086833
                 135,            0.031146,           0.0082493,            0.014568,             0.89413,             0.96179,             0.97521,              0.6706,            0.022068,           0.0039113,            0.011138,           0.0086734,           0.0086734,           0.0086734
                 136,            0.025141,            0.008245,            0.014642,             0.86826,              0.7964,             0.88972,             0.58964,            0.024692,           0.0043708,            0.036337,           0.0086635,           0.0086635,           0.0086635
                 137,            0.030202,           0.0081453,            0.011049,             0.73566,             0.71168,             0.70973,             0.47581,            0.026747,           0.0050505,            0.054763,           0.0086536,           0.0086536,           0.0086536
                 138,            0.028229,            0.009038,            0.013999,             0.82143,             0.89655,             0.94837,             0.59826,            0.025343,           0.0043675,            0.031098,           0.0086437,           0.0086437,           0.0086437
                 139,            0.032372,           0.0086788,            0.012922,             0.82285,             0.88704,             0.94946,             0.73337,            0.023195,            0.004314,            0.032326,           0.0086338,           0.0086338,           0.0086338
                 140,            0.029436,           0.0090235,            0.012665,             0.83367,             0.88624,              0.9572,             0.57801,            0.025756,           0.0041284,            0.033153,           0.0086239,           0.0086239,           0.0086239
                 141,            0.030663,           0.0084991,             0.01128,             0.82757,               0.888,             0.96116,             0.66575,             0.02721,           0.0039629,            0.032204,            0.008614,            0.008614,            0.008614
                 142,             0.03315,           0.0079089,            0.011177,             0.79457,              0.8384,             0.94487,             0.54654,            0.028579,           0.0041637,            0.038239,           0.0086041,           0.0086041,           0.0086041
                 143,            0.029086,           0.0082017,            0.010844,             0.79407,             0.84261,             0.93029,             0.65689,            0.027049,           0.0040559,            0.037651,           0.0085942,           0.0085942,           0.0085942
                 144,            0.036307,           0.0080381,            0.012491,              0.7815,             0.79887,              0.9127,             0.58482,            0.027492,           0.0042092,            0.037675,           0.0085843,           0.0085843,           0.0085843
                 145,            0.028221,           0.0066651,           0.0091043,              0.8262,             0.83335,             0.94009,               0.685,            0.024605,           0.0040808,             0.02725,           0.0085744,           0.0085744,           0.0085744
                 146,            0.033664,           0.0088789,            0.013337,             0.94975,             0.93389,             0.98455,             0.67673,             0.02503,           0.0039321,             0.01137,           0.0085645,           0.0085645,           0.0085645
                 147,            0.028104,           0.0085103,             0.00906,             0.97594,                   1,               0.995,             0.76725,            0.022643,           0.0037298,           0.0061116,           0.0085546,           0.0085546,           0.0085546
                 148,            0.033543,           0.0082093,            0.012247,             0.97914,                   1,               0.995,                0.59,             0.03061,           0.0039372,           0.0059058,           0.0085447,           0.0085447,           0.0085447
                 149,            0.032639,           0.0085026,            0.012966,             0.99494,                   1,               0.995,             0.79552,            0.017922,           0.0036051,           0.0044808,           0.0085348,           0.0085348,           0.0085348
                 150,            0.024501,           0.0089445,           0.0098379,              0.9943,                   1,               0.995,             0.59554,            0.025166,           0.0037944,           0.0043988,           0.0085249,           0.0085249,           0.0085249
                 151,            0.036697,            0.010297,           0.0090043,             0.98555,                   1,               0.995,             0.78485,            0.024014,           0.0035504,           0.0042339,            0.008515,            0.008515,            0.008515
